Year,Total_Revenue,Transaction_Count,Avg_Order_Value,YoY_Growth_Percent,Revenue_Category
2015,2131970658.45,33021,64564.08523212501,,Low
2016,3582499554.79,55040,65089.01807394622,68.04,Low
2017,5484529641.57,77047,71184.2075819954,53.09,Medium
2018,7217339863.07,99059,72859.00183799553,31.59,Medium
2019,8570350194.77,121073,70786.6344665615,18.75,Medium
2020,11821709735.55,143105,82608.64215471158,37.94,High
2021,10939258049.01,137575,79514.86860992186,-7.46,High
2022,8495102477.68,132071,64322.23938396772,-22.34,Medium
2023,7678830533.57,126577,60665.29095783594,-9.61,Medium
2024,6792088220.93,121069,56100.96904186869,-11.55,Medium
2025,3833889116.08,77050,49758.457054899416,-43.55,Low
