Metric,Value
Total Years Analyzed,11
Start Year,2015
End Year,2025
Total Revenue (All Years),"₹76,547,568,045.47"
Average Annual Revenue,"₹6,958,869,822.32"
Min Annual Revenue,"₹2,131,970,658.45"
Max Annual Revenue,"₹11,821,709,735.55"
Standard Deviation,"₹3,028,177,069.03"
CAGR (2015-2025),6.04%
Total Growth (2015-2025),79.83%
Average YoY Growth Rate,11.49%
Highest Growth Year,2016
Highest Growth Rate,+68.04%
Lowest Growth Year,2025
Lowest Growth Rate,-43.55%
Linear Trend R-squared,0.1070
Polynomial Trend R-squared,0.8983
Pearson Correlation (Year vs Revenue),0.3271
Total Transactions (All Years),"1,122,687"
Average Transactions per Year,"102,062"
