Year,Total_Revenue,YoY_Growth_INR,YoY_Growth_Percent,Transaction_Count,Avg_Order_Value
2015,"₹2,131,970,658.45",N/A,,33021,"₹64,564.09"
2016,"₹3,582,499,554.79","₹1,450,528,896.34",68.04,55040,"₹65,089.02"
2017,"₹5,484,529,641.57","₹1,902,030,086.78",53.09,77047,"₹71,184.21"
2018,"₹7,217,339,863.07","₹1,732,810,221.50",31.59,99059,"₹72,859.00"
2019,"₹8,570,350,194.77","₹1,353,010,331.70",18.75,121073,"₹70,786.63"
2020,"₹11,821,709,735.55","₹3,251,359,540.78",37.94,143105,"₹82,608.64"
2021,"₹10,939,258,049.01","₹-882,451,686.54",-7.46,137575,"₹79,514.87"
2022,"₹8,495,102,477.68","₹-2,444,155,571.33",-22.34,132071,"₹64,322.24"
2023,"₹7,678,830,533.57","₹-816,271,944.11",-9.61,126577,"₹60,665.29"
2024,"₹6,792,088,220.93","₹-886,742,312.64",-11.55,121069,"₹56,100.97"
2025,"₹3,833,889,116.08","₹-2,958,199,104.85",-43.55,77050,"₹49,758.46"
