Year,Month,Total_Revenue,Transaction_Count,Avg_Order_Value,Month_Name
2015,1,"₹162,510,738.05",2402,"₹67,656.43",Jan
2015,2,"₹143,331,184.38",2102,"₹68,188.00",Feb
2015,3,"₹144,819,343.85",2402,"₹60,291.15",Mar
2015,4,"₹177,071,348.29",2401,"₹73,749.00",Apr
2015,5,"₹156,298,488.64",2701,"₹57,866.90",May
2015,6,"₹139,240,664.25",2402,"₹57,968.64",Jun
2015,7,"₹154,441,761.55",2701,"₹57,179.47",Jul
2015,8,"₹169,952,333.00",2401,"₹70,783.98",Aug
2015,9,"₹170,224,976.37",2701,"₹63,022.95",Sep
2015,10,"₹211,071,664.26",3903,"₹54,079.34",Oct
2015,11,"₹231,836,077.43",3302,"₹70,210.80",Nov
2015,12,"₹271,172,078.38",3603,"₹75,262.86",Dec
2016,1,"₹268,750,138.39",4004,"₹67,120.41",Jan
2016,2,"₹244,930,976.20",3503,"₹69,920.35",Feb
2016,3,"₹242,717,603.69",4003,"₹60,633.93",Mar
2016,4,"₹286,997,469.22",4003,"₹71,695.60",Apr
2016,5,"₹272,688,006.17",4500,"₹60,597.33",May
2016,6,"₹237,270,705.04",4001,"₹59,302.85",Jun
2016,7,"₹260,438,457.01",4505,"₹57,810.98",Jul
2016,8,"₹301,286,085.88",4004,"₹75,246.28",Aug
2016,9,"₹295,719,002.94",4501,"₹65,700.73",Sep
2016,10,"₹350,089,907.39",6507,"₹53,802.05",Oct
2016,11,"₹373,034,338.14",5503,"₹67,787.45",Nov
2016,12,"₹448,576,864.72",6006,"₹74,688.12",Dec
2017,1,"₹410,510,711.40",5602,"₹73,279.31",Jan
2017,2,"₹373,336,800.54",4902,"₹76,160.10",Feb
2017,3,"₹369,318,789.78",5603,"₹65,914.47",Mar
2017,4,"₹456,858,159.52",5602,"₹81,552.69",Apr
2017,5,"₹420,458,187.60",6304,"₹66,697.05",May
2017,6,"₹363,094,918.53",5604,"₹64,792.10",Jun
2017,7,"₹395,372,716.71",6302,"₹62,737.66",Jul
2017,8,"₹448,643,376.25",5608,"₹80,000.60",Aug
2017,9,"₹441,750,058.10",6303,"₹70,085.68",Sep
2017,10,"₹533,573,726.04",9102,"₹58,621.59",Oct
2017,11,"₹582,464,813.28",7706,"₹75,585.88",Nov
2017,12,"₹689,147,383.82",8409,"₹81,953.55",Dec
2018,1,"₹538,512,782.30",7207,"₹74,720.80",Jan
2018,2,"₹484,195,770.92",6302,"₹76,832.08",Feb
2018,3,"₹477,324,383.04",7212,"₹66,184.75",Mar
2018,4,"₹604,589,210.12",7205,"₹83,912.45",Apr
2018,5,"₹548,054,988.62",8105,"₹67,619.37",May
2018,6,"₹470,708,425.32",7203,"₹65,348.94",Jun
2018,7,"₹542,374,783.06",8103,"₹66,935.06",Jul
2018,8,"₹594,375,607.31",7204,"₹82,506.33",Aug
2018,9,"₹572,301,932.07",8101,"₹70,645.84",Sep
2018,10,"₹712,547,824.55",11708,"₹60,859.91",Oct
2018,11,"₹770,703,763.21",9904,"₹77,817.42",Nov
2018,12,"₹901,650,392.55",10805,"₹83,447.51",Dec
2019,1,"₹657,039,338.36",8806,"₹74,612.69",Jan
2019,2,"₹560,641,706.06",7702,"₹72,791.70",Feb
2019,3,"₹587,536,388.63",8806,"₹66,720.01",Mar
2019,4,"₹705,554,179.14",8804,"₹80,140.18",Apr
2019,5,"₹641,599,161.72",9907,"₹64,762.20",May
2019,6,"₹578,276,676.22",8802,"₹65,698.33",Jun
2019,7,"₹627,892,787.04",9910,"₹63,359.51",Jul
2019,8,"₹708,586,749.63",8806,"₹80,466.36",Aug
2019,9,"₹686,978,446.20",9910,"₹69,321.74",Sep
2019,10,"₹834,063,991.57",14302,"₹58,318.00",Oct
2019,11,"₹918,418,352.42",12111,"₹75,833.40",Nov
2019,12,"₹1,063,762,417.78",13207,"₹80,545.35",Dec
2020,1,"₹1,008,617,991.58",11708,"₹86,147.76",Jan
2020,2,"₹910,290,514.30",10410,"₹87,443.85",Feb
2020,3,"₹794,030,689.84",10404,"₹76,319.75",Mar
2020,4,"₹981,372,142.67",10408,"₹94,290.18",Apr
2020,5,"₹879,557,528.43",11712,"₹75,098.83",May
2020,6,"₹783,655,855.00",10406,"₹75,308.08",Jun
2020,7,"₹871,844,027.55",11709,"₹74,459.31",Jul
2020,8,"₹965,581,851.90",10405,"₹92,799.79",Aug
2020,9,"₹942,607,480.90",11709,"₹80,502.82",Sep
2020,10,"₹964,158,365.05",14310,"₹67,376.55",Oct
2020,11,"₹1,141,399,598.60",13011,"₹87,725.74",Nov
2020,12,"₹1,578,593,689.73",16913,"₹93,336.11",Dec
2021,1,"₹937,666,575.77",11254,"₹83,318.52",Jan
2021,2,"₹844,274,281.14",10006,"₹84,376.80",Feb
2021,3,"₹742,597,821.93",10004,"₹74,230.09",Mar
2021,4,"₹895,311,672.91",10004,"₹89,495.37",Apr
2021,5,"₹830,123,354.86",11257,"₹73,742.86",May
2021,6,"₹715,154,548.49",10003,"₹71,494.01",Jun
2021,7,"₹803,555,441.69",11255,"₹71,395.42",Jul
2021,8,"₹880,797,349.48",10010,"₹87,991.74",Aug
2021,9,"₹870,865,274.93",11254,"₹77,382.73",Sep
2021,10,"₹901,493,995.42",13757,"₹65,529.84",Oct
2021,11,"₹1,052,674,655.79",12510,"₹84,146.66",Nov
2021,12,"₹1,464,743,076.60",16261,"₹90,077.06",Dec
2022,1,"₹720,588,078.30",10804,"₹66,696.42",Jan
2022,2,"₹656,386,581.77",9610,"₹68,302.45",Feb
2022,3,"₹572,948,516.03",9604,"₹59,657.28",Mar
2022,4,"₹688,414,237.60",9607,"₹71,657.57",Apr
2022,5,"₹637,151,747.66",10806,"₹58,962.78",May
2022,6,"₹551,027,093.95",9609,"₹57,344.89",Jun
2022,7,"₹625,543,743.77",10806,"₹57,888.56",Jul
2022,8,"₹703,332,510.02",9602,"₹73,248.54",Aug
2022,9,"₹685,105,858.35",10804,"₹63,412.24",Sep
2022,10,"₹700,290,611.16",13204,"₹53,036.25",Oct
2022,11,"₹821,057,845.90",12011,"₹68,358.82",Nov
2022,12,"₹1,133,255,653.17",15604,"₹72,625.97",Dec
2023,1,"₹648,281,068.35",10358,"₹62,587.48",Jan
2023,2,"₹584,126,764.87",9206,"₹63,450.66",Feb
2023,3,"₹508,004,027.61",9203,"₹55,199.83",Mar
2023,4,"₹634,592,437.32",9202,"₹68,962.45",Apr
2023,5,"₹574,294,079.10",10357,"₹55,449.85",May
2023,6,"₹499,501,684.29",9208,"₹54,246.49",Jun
2023,7,"₹560,695,752.45",10354,"₹54,152.57",Jul
2023,8,"₹633,654,954.34",9209,"₹68,808.23",Aug
2023,9,"₹621,693,409.21",10356,"₹60,032.19",Sep
2023,10,"₹626,896,054.96",12658,"₹49,525.68",Oct
2023,11,"₹750,180,728.00",11506,"₹65,199.09",Nov
2023,12,"₹1,036,909,573.07",14960,"₹69,312.14",Dec
2024,1,"₹576,472,198.95",9908,"₹58,182.50",Jan
2024,2,"₹512,328,750.33",8805,"₹58,186.12",Feb
2024,3,"₹451,070,234.71",8805,"₹51,228.87",Mar
2024,4,"₹556,707,128.88",8804,"₹63,233.43",Apr
2024,5,"₹512,710,967.98",9907,"₹51,752.39",May
2024,6,"₹448,391,824.39",8807,"₹50,913.12",Jun
2024,7,"₹498,920,333.45",9906,"₹50,365.47",Jul
2024,8,"₹562,325,945.60",8806,"₹63,857.14",Aug
2024,9,"₹545,431,977.82",9906,"₹55,060.77",Sep
2024,10,"₹547,782,815.08",12106,"₹45,248.87",Oct
2024,11,"₹659,420,924.07",11004,"₹59,925.57",Nov
2024,12,"₹920,525,119.67",14305,"₹64,349.89",Dec
2025,1,"₹323,326,708.11",6303,"₹51,297.27",Jan
2025,2,"₹292,782,396.24",5601,"₹52,273.24",Feb
2025,3,"₹255,851,673.66",5606,"₹45,638.90",Mar
2025,4,"₹316,828,152.94",5607,"₹56,505.82",Apr
2025,5,"₹291,464,362.41",6305,"₹46,227.50",May
2025,6,"₹254,294,596.31",5605,"₹45,369.24",Jun
2025,7,"₹278,486,509.84",6303,"₹44,183.17",Jul
2025,8,"₹321,102,629.08",5604,"₹57,298.83",Aug
2025,9,"₹309,253,529.32",6304,"₹49,056.71",Sep
2025,10,"₹314,245,608.32",7703,"₹40,795.22",Oct
2025,11,"₹364,282,663.20",7003,"₹52,018.09",Nov
2025,12,"₹511,970,286.65",9106,"₹56,223.40",Dec
