Month,Total_Revenue,Avg_Revenue_Per_Transaction,Total_Transactions,Month_Name
12,"₹10,020,306,536.14","₹77,569.16",129179,Dec
11,"₹7,665,473,760.04","₹72,609.65",105571,Nov
10,"₹6,696,214,563.80","₹56,148.03",119260,Oct
4,"₹6,304,296,138.61","₹77,214.06",81647,Apr
8,"₹6,289,639,392.49","₹77,023.22",81659,Aug
1,"₹6,252,276,329.56","₹70,762.33",88356,Jan
9,"₹6,141,931,946.21","₹66,869.88",91849,Sep
5,"₹5,764,400,873.19","₹62,751.34",91861,May
7,"₹5,619,566,314.12","₹61,179.33",91854,Jul
2,"₹5,606,625,726.75","₹71,742.77",78149,Feb
3,"₹5,146,219,472.77","₹63,026.25",81652,Mar
6,"₹5,040,616,991.79","₹61,734.44",81650,Jun
