Segment,Count,Avg_Recency,Med_Recency,Avg_Frequency,Med_Frequency,Avg_Monetary,Med_Monetary,Total_Revenue,Avg_Order_Value,Prime_Member_Pct,Festival_Purchase_Pct,Return_Rate,Revenue_Contribution_Pct
Loyal Customers,85893,1628.5875915383092,1559.0,5.407926140663384,5.0,"₹373,949","₹281,990","₹32,119,624,624","₹68,540",31.195790110952,31.03060706738922,7.000386081228448,41.96
Champions,41014,499.50041449261226,473.0,5.756180816306627,5.0,"₹436,794","₹343,296","₹17,914,666,966","₹79,631",57.50475447408202,28.767598170454303,6.536202290491449,23.4
Potential Loyalists,46583,494.74175128265676,477.0,2.2277654938496876,2.0,"₹129,429","₹96,297","₹6,029,212,313","₹66,659",65.6827598050791,28.00306007811965,6.951296865911639,7.88
Need Attention,18709,2240.6583462504677,2201.0,3.0,3.0,"₹260,275","₹214,817","₹4,869,476,869","₹86,758",31.268373510075364,29.217667076451615,6.604664421757798,6.36
Hibernating,60496,2263.3663878603543,2202.0,1.4110519703782067,1.0,"₹74,268","₹65,055","₹4,492,918,247","₹54,796",32.61372652737371,33.44931896323724,7.160804020100502,5.87
Promising,23644,1311.6262053798005,1285.0,2.449120284215869,2.0,"₹172,251","₹127,757","₹4,072,697,013","₹72,842",53.49771612248351,28.833168185223673,7.075740548291725,5.32
Can't Lose Them,12458,2206.0142077379996,2096.0,1.7646492213838498,2.0,"₹291,079","₹255,328","₹3,626,263,753","₹177,551",51.284315299406,21.018622571841387,6.020227965965645,4.74
Recent Customers,39109,544.9372267253062,553.0,1.3215883811910303,1.0,"₹41,417","₹32,529","₹1,619,770,356","₹35,944",58.06591833081899,35.88266128001227,7.252806259428776,2.12
Others,20597,1282.1783269408165,1271.0,1.1624993931155023,1.0,"₹62,469","₹42,074","₹1,286,668,617","₹59,500",56.197504490945285,30.842274764933407,7.507565826738523,1.68
At Risk,6466,2309.1071759975257,2250.0,3.296164553046706,3.0,"₹79,844","₹83,026","₹516,269,288","₹24,676",12.109495824311784,40.27548863653101,8.981835388037057,0.67
