Year,Payment_Method,Transaction_Count,Total_Revenue,Total_Transactions,Transaction_Percentage,YoY_Change_Pct,Market_Share_Change
2015,COD,24850,1600976124.92,33021,75.26,,
2016,COD,38568,2501230144.33,55040,70.07,55.20321931589538,-5.190000000000012
2017,COD,46186,3296950029.16,77047,59.95,19.752126114913928,-10.11999999999999
2018,COD,49497,3602121853.28,99059,49.97,7.16883904213399,-9.980000000000004
2019,COD,48495,3431378055.34,121073,40.05,-2.024365113037152,-9.920000000000002
2020,COD,35492,2941910711.3,143105,24.8,-26.813073512733276,-15.249999999999996
2021,COD,24879,1981143105.88,137575,18.08,-29.902513242420824,-6.720000000000002
2022,COD,19888,1280126909.37,132071,15.06,-20.061095703203502,-3.019999999999998
2023,COD,15294,917844813.75,126577,12.08,-23.09935639581657,-2.9800000000000004
2024,COD,12112,677528535.8,121069,10.0,-20.805544658035835,-2.08
2025,COD,6210,310206730.32,77050,8.06,-48.728533685601064,-1.9399999999999995
