Year,Category,Transaction_Count,Total_Revenue,Total_Transactions,Percentage
2015,Traditional,33021,2131970658.45,33021,100.0
2016,Digital,1135,74184736.44,55040,2.06
2016,Traditional,53905,3508314818.35,55040,97.94
2017,Digital,5453,380957340.33,77047,7.08
2017,Traditional,71594,5103572301.24,77047,92.92
2018,Digital,12842,939270360.8,99059,12.96
2018,Traditional,86217,6278069502.27,99059,87.04
2019,Digital,24626,1740630526.1,121073,20.34
2019,Traditional,96447,6829719668.67,121073,79.66
2020,Digital,46012,3780294050.47,143105,32.15
2020,Traditional,97093,8041415685.08,143105,67.85
2021,Digital,61686,4905445563.04,137575,44.84
2021,Traditional,75889,6033812485.97,137575,55.16
2022,Digital,68447,4410936037.21,132071,51.83
2022,Traditional,63624,4084166440.47,132071,48.17
2023,Digital,74827,4545143409.98,126577,59.12
2023,Traditional,51750,3133687123.59,126577,40.88
2024,Digital,77310,4347468190.51,121069,63.86
2024,Traditional,43759,2444620030.42,121069,36.14
2025,Digital,53131,2639561636.83,77050,68.96
2025,Traditional,23919,1194327479.25,77050,31.04
