Year,BNPL,COD,Credit Card,Debit Card,Net Banking,UPI,Wallet
2015,0.0,75.26,12.1,7.84,4.81,0.0,0.0
2016,0.0,70.07,14.09,9.87,3.9,2.06,0.0
2017,0.0,59.95,16.05,11.96,4.97,7.08,0.0
2018,0.0,49.97,16.97,14.06,6.04,12.96,0.0
2019,0.0,40.05,16.91,15.75,6.95,20.34,0.0
2020,0.0,24.8,17.98,17.05,8.02,30.13,2.03
2021,0.0,18.08,15.97,14.08,7.03,39.89,4.95
2022,2.0,15.06,15.01,12.02,6.08,45.87,3.96
2023,4.0,12.08,13.89,9.89,5.02,52.06,3.05
2024,6.0,10.0,13.02,9.07,4.05,55.92,1.94
2025,6.8,8.06,11.99,8.05,2.95,60.16,2.0
