Year,Payment_Method,Transaction_Count,Total_Revenue,Total_Transactions,Transaction_Percentage,YoY_Growth_Pct,Cumulative_Transactions
2016,UPI,1135,74184736.44,55040,2.06,,1135
2017,UPI,5453,380957340.33,77047,7.08,380.4405286343612,6588
2018,UPI,12842,939270360.8,99059,12.96,135.5033926279112,19430
2019,UPI,24626,1740630526.1,121073,20.34,91.76140788039247,44056
2020,UPI,43114,3543299076.03,143105,30.13,75.07512385283846,87170
2021,UPI,54872,4365258023.93,137575,39.89,27.271883842835276,142042
2022,UPI,60586,3904594792.75,132071,45.87,10.413325557661457,202628
2023,UPI,65897,3998164354.31,126577,52.06,8.766051563067379,268525
2024,UPI,67699,3816346677.48,121069,55.92,2.734570617782306,336224
2025,UPI,46351,2304700777.13,77050,60.16,-31.53370064550437,382575
