Year,Payment_Method,Transaction_Count,Total_Revenue,Total_Transactions,Transaction_Percentage
2015,COD,24850,1600976124.92,33021,75.26
2015,Credit Card,3994,261243166.05,33021,12.1
2015,Debit Card,2589,164503317.98,33021,7.84
2015,Net Banking,1588,105248049.5,33021,4.81
2016,COD,38568,2501230144.33,55040,70.07
2016,Credit Card,7757,514936119.58,55040,14.09
2016,Debit Card,5435,356923345.19,55040,9.87
2016,Net Banking,2145,135225209.25,55040,3.9
2016,UPI,1135,74184736.44,55040,2.06
2017,COD,46186,3296950029.16,77047,59.95
2017,Credit Card,12366,879709794.18,77047,16.05
2017,Debit Card,9216,653954011.74,77047,11.96
2017,Net Banking,3826,272958466.16,77047,4.97
2017,UPI,5453,380957340.33,77047,7.08
2018,COD,49497,3602121853.28,99059,49.97
2018,Credit Card,16810,1233767315.01,99059,16.97
2018,Debit Card,13928,1004066183.05,99059,14.06
2018,Net Banking,5982,438114150.93,99059,6.04
2018,UPI,12842,939270360.8,99059,12.96
2019,COD,48495,3431378055.34,121073,40.05
2019,Credit Card,20477,1453314524.86,121073,16.91
2019,Debit Card,19066,1354776957.93,121073,15.75
2019,Net Banking,8409,590250130.54,121073,6.95
2019,UPI,24626,1740630526.1,121073,20.34
2020,COD,35492,2941910711.3,143105,24.8
2020,Credit Card,25732,2147206729.23,143105,17.98
2020,Debit Card,24397,2000591031.36,143105,17.05
2020,Net Banking,11472,951707213.19,143105,8.02
2020,UPI,43114,3543299076.03,143105,30.13
2020,Wallet,2898,236994974.44,143105,2.03
2021,COD,24879,1981143105.88,137575,18.08
2021,Credit Card,21964,1755232205.26,137575,15.97
2021,Debit Card,19375,1535477622.65,137575,14.08
2021,Net Banking,9671,761959552.18,137575,7.03
2021,UPI,54872,4365258023.93,137575,39.89
2021,Wallet,6814,540187539.11,137575,4.95
2022,BNPL,2636,170116184.83,132071,2.0
2022,COD,19888,1280126909.37,132071,15.06
2022,Credit Card,19830,1260625472.28,132071,15.01
2022,Debit Card,15874,1020664007.17,132071,12.02
2022,Net Banking,8032,522750051.65,132071,6.08
2022,UPI,60586,3904594792.75,132071,45.87
2022,Wallet,5225,336225059.63,132071,3.96
2023,BNPL,5068,312844600.98,126577,4.0
2023,COD,15294,917844813.75,126577,12.08
2023,Credit Card,17583,1077401440.49,126577,13.89
2023,Debit Card,12513,760675315.51,126577,9.89
2023,Net Banking,6360,377765553.84,126577,5.02
2023,UPI,65897,3998164354.31,126577,52.06
2023,Wallet,3862,234134454.69,126577,3.05
2024,BNPL,7260,400424831.86,121069,6.0
2024,COD,12112,677528535.8,121069,10.0
2024,Credit Card,15761,879397366.56,121069,13.02
2024,Debit Card,10979,606671068.66,121069,9.07
2024,Net Banking,4907,281023059.4,121069,4.05
2024,UPI,67699,3816346677.48,121069,55.92
2024,Wallet,2351,130696681.17,121069,1.94
2025,BNPL,5240,258802279.96,77050,6.8
2025,COD,6210,310206730.32,77050,8.06
2025,Credit Card,9237,461092081.04,77050,11.99
2025,Debit Card,6200,312420202.73,77050,8.05
2025,Net Banking,2272,110608465.16,77050,2.95
2025,UPI,46351,2304700777.13,77050,60.16
2025,Wallet,1540,76058579.74,77050,2.0
