Year,Subcategory,Transaction_Count,Total_Revenue,Revenue_Growth_Pct,Transaction_Growth_Pct
2015,Audio,1158,17702278.89,,
2016,Audio,2354,39005438.89,120.34134210841145,103.28151986183074
2017,Audio,3007,58351191.66,49.5975774674843,27.740016992353446
2018,Audio,3922,78594272.04,34.691802864887734,30.428999002327895
2019,Audio,4683,99728777.7,26.890643696329096,19.403365629780733
2020,Audio,6143,157992628.88,58.422305500691984,31.176596199017716
2021,Audio,6415,168244970.34,6.48912644385895,4.4278040045580225
2022,Audio,6194,134223666.72,-20.22129015283346,-3.445050662509741
2023,Audio,6076,131639081.89,-1.9255805575566831,-1.9050694220213105
2024,Audio,6209,133292552.23,1.2560634093313316,2.188940092165903
2025,Audio,4229,87240974.31,-34.5492506141954,-31.88919310678048
2015,Laptops,3442,322328320.88,,
2016,Laptops,5641,499180593.75,54.867121941742305,63.88727484020917
2017,Laptops,7281,707286008.39,41.68940404446562,29.072859422088282
2018,Laptops,8557,910978650.16,28.799190052361844,17.525065238291447
2019,Laptops,10353,1103365319.67,21.11868038578184,20.988664251490018
2020,Laptops,11640,1510001421.47,36.85416738688312,12.43117936829905
2021,Laptops,9864,1241769452.46,-17.763689834733654,-15.257731958762887
2022,Laptops,9609,1009877091.73,-18.674348951861475,-2.5851581508515853
2023,Laptops,8972,885167265.43,-12.349010322272203,-6.629201789988548
2024,Laptops,7806,745743595.15,-15.751110069831853,-12.995987516718676
2025,Laptops,4802,423230711.46,-43.24715435539601,-38.48321803740712
2015,Smart Watch,3734,139933341.62,,
2016,Smart Watch,4053,150424767.22,7.49744519679254,8.54311730048205
2017,Smart Watch,4875,199612902.3,32.69949223724651,20.281273131014068
2018,Smart Watch,5892,236515602.64,18.487131800998814,20.861538461538466
2019,Smart Watch,7431,302977642.1,28.10048838983439,26.120162932790226
2020,Smart Watch,8784,440277807.44,45.31692978674744,18.20750908356883
2021,Smart Watch,8942,459729642.12,4.418082027141668,1.7987249544626494
2022,Smart Watch,8757,373267272.93,-18.8072208681796,-2.0688883918586476
2023,Smart Watch,8691,358915476.22,-3.844911609138424,-0.7536827680712621
2024,Smart Watch,8002,329476495.84,-8.202204232050224,-7.927741341617766
2025,Smart Watch,5220,209005691.81,-36.564309002637586,-34.76630842289428
2015,Smartphones,20209,1402025362.11,,
2016,Smartphones,36320,2538058042.88,81.02796935572623,79.72190608144886
2017,Smartphones,53853,3970641729.53,56.444086874562196,48.273678414096906
2018,Smartphones,71949,5326070390.27,34.13626192107846,33.60258481421647
2019,Smartphones,88678,6294444918.25,18.181782384045974,23.25119181642552
2020,Smartphones,106329,8683235316.67,37.95077134592098,19.904598660321614
2021,Smartphones,102936,8126642349.43,-6.409972169836942,-3.1910391332562127
2022,Smartphones,98690,6258017384.43,-22.993813246021155,-4.124893137483488
2023,Smartphones,94015,5538395528.9,-11.49919872898445,-4.737055426081671
2024,Smartphones,91645,4959798343.37,-10.44701813929344,-2.520874328564593
2025,Smartphones,58970,2809867507.59,-43.34714210012016,-35.65388182661356
2015,TV & Entertainment,733,61821852.13,,
2016,TV & Entertainment,981,80707411.25,30.54835542663319,33.83356070941337
2017,TV & Entertainment,1316,158526807.92,96.42162406739318,34.14882772680939
2018,TV & Entertainment,1536,210457283.15,32.75816621262351,16.71732522796352
2019,TV & Entertainment,1738,229113023.53,8.864383356456917,13.151041666666675
2020,TV & Entertainment,1772,288936605.31,26.110947714051136,1.9562715765247374
2021,TV & Entertainment,1834,270645536.8,-6.330478095835423,3.498871331828446
2022,TV & Entertainment,1700,176683109.17,-34.717892909291095,-7.306434023991271
2023,TV & Entertainment,1861,187750530.71,6.263995235306408,9.47058823529412
2024,TV & Entertainment,1825,166441427.61,-11.349689941976305,-1.934443847393874
2025,TV & Entertainment,1101,82353338.05,-50.521129725606784,-39.671232876712324
2015,Tablets,3745,188159502.82,,
2016,Tablets,5691,275123300.8,46.218127002170405,51.96261682242991
2017,Tablets,6715,390111001.77,41.79496997733023,17.993322790370758
2018,Tablets,7203,454723664.81,16.562635441410613,7.267311988086367
2019,Tablets,8190,540720513.52,18.911892070964154,13.702623906705536
2020,Tablets,8437,741265955.78,37.088558182208175,3.015873015873005
2021,Tablets,7584,672226097.86,-9.313776975950894,-10.110228754296546
2022,Tablets,7121,543033952.7,-19.21855541926698,-6.1049578059071745
2023,Tablets,6962,576962650.42,6.2479882797943365,-2.2328324673500877
2024,Tablets,5582,457335806.73,-20.733897350706776,-19.821890261419128
2025,Tablets,2728,222190892.85999998,-51.41624828182847,-51.1286277319957
