Year,Prime_Transaction_Count,Prime_Transaction_Pct,Prime_Revenue,Prime_Revenue_Pct,Prime_Customer_Count,Prime_Customer_Pct
2015,0,0.0,0.0,0.0,0,0.0
2016,897,1.6297238372093021,75440890.04,2.1058171504622063,442,1.6823354774863928
2017,6034,7.831583319272652,531704619.72,9.694625692054686,3031,7.81407099951017
2018,15850,16.00056531965798,1453529082.28,20.139401910633044,7968,15.962497746258789
2019,29238,24.14906709175456,2556747915.23,29.832478920059046,14859,24.331892316761643
2020,52765,36.87152789909507,5332291331.47,45.105923345714075,26498,36.804311290748224
2021,61383,44.61784481192077,5850837232.25,53.48477205709119,31073,44.78990990990991
2022,67447,51.06874332745266,5097586455.19,60.006179661556516,34075,51.15982283612341
2023,71063,56.14211112603395,4996531900.74,65.068917446431,35851,56.20159899670794
2024,73019,60.31188826206544,4718118255.51,69.46491420666464,36826,60.42299046712718
2025,49576,64.34263465282284,2799870555.68,73.02951313685246,25019,64.4387781383609
