festival,year,period,transactions,revenue,avg_order_value,unique_customers,days,daily_revenue,daily_transactions
Diwali,2015,Before,909,47836606.98,52625.5302310231,871,7,6833800.997142857,129.85714285714286
Diwali,2015,During,1387,64296775.29,46356.72335255948,1333,11,5845161.39,126.0909090909091
Diwali,2015,After,755,38978815.59,51627.570317880796,733,7,5568402.227142857,107.85714285714286
Diwali,2016,Before,1429,79120346.35,55367.63215535339,1394,7,11302906.62142857,204.14285714285714
Diwali,2016,During,2288,102365712.21,44740.25883304195,2224,11,9305973.837272726,208.0
Diwali,2016,After,1345,65713437.83,48857.57459479554,1317,7,9387633.975714285,192.14285714285714
Diwali,2017,Before,2036,117636658.13000001,57778.319317288806,1994,7,16805236.875714287,290.85714285714283
Diwali,2017,During,3275,162831048.63,49719.40416183206,3169,11,14802822.602727272,297.72727272727275
Diwali,2017,After,1769,98209968.27000001,55517.223442622955,1735,7,14029995.46714286,252.71428571428572
Diwali,2018,Before,2588,161474901.14000002,62393.702140649155,2548,7,23067843.020000003,369.7142857142857
Diwali,2018,During,4194,215291155.76999998,51333.1320386266,4039,11,19571923.25181818,381.27272727272725
Diwali,2018,After,2363,133000313.68,56284.51700380872,2311,7,19000044.811428573,337.57142857142856
Diwali,2019,Before,3181,186415481.22,58602.791958503614,3115,7,26630783.03142857,454.42857142857144
Diwali,2019,During,5134,251073888.42,48904.14655629139,4953,11,22824898.947272725,466.72727272727275
Diwali,2019,After,2856,153663437.01999998,53803.7244467787,2793,7,21951919.574285712,408.0
Diwali,2020,Before,3233,219648085.26999998,67939.4015682029,3170,7,31378297.895714283,461.85714285714283
Diwali,2020,During,5123,291685201.53000003,56936.40474917041,4956,11,26516836.502727274,465.72727272727275
Diwali,2020,After,2992,193191819.91,64569.45852606952,2938,7,27598831.415714286,427.42857142857144
Diwali,2021,Before,3147,206178486.02,65515.883705115986,3084,7,29454069.431428574,449.57142857142856
Diwali,2021,During,4874,268423983.11,55072.626817808785,4755,11,24402180.282727275,443.09090909090907
Diwali,2021,After,2852,175250574.18,61448.307917251055,2801,7,25035796.311428573,407.42857142857144
Diwali,2022,Before,3021,161147332.82999998,53342.38094339622,2970,7,23021047.547142856,431.57142857142856
Diwali,2022,During,4712,214512375.52999997,45524.69769312393,4604,11,19501125.048181817,428.3636363636364
Diwali,2022,After,2810,140403056.37,49965.50048754449,2757,7,20057579.48142857,401.42857142857144
Diwali,2023,Before,2827,142065811.15,50253.2052175451,2759,7,20295115.87857143,403.85714285714283
Diwali,2023,During,4541,186739970.08,41123.09404976878,4407,11,16976360.916363638,412.8181818181818
Diwali,2023,After,2736,131537403.51,48076.536370614034,2696,7,18791057.644285716,390.85714285714283
Diwali,2024,Before,2767,124488352.24,44990.36943982652,2712,7,17784050.32,395.2857142857143
Diwali,2024,During,4378,165985758.96,37913.60414801279,4227,11,15089614.450909091,398.0
Diwali,2024,After,2652,114179724.74000001,43054.19484917044,2604,7,16311389.24857143,378.85714285714283
Diwali,2025,Before,1749,72015740.21,41175.38033733561,1725,7,10287962.887142856,249.85714285714286
Diwali,2025,During,2745,96971885.58,35326.73427322404,2672,11,8815625.961818181,249.54545454545453
Diwali,2025,After,1582,56637329.07000001,35801.092964601776,1559,7,8091047.010000001,226.0
Diwali (Nov),2015,Before,857,40678916.89,47466.64747957993,839,7,5811273.841428571,122.42857142857143
Diwali (Nov),2015,During,960,56863549.150000006,59232.86369791667,921,9,6318172.127777779,106.66666666666667
Diwali (Nov),2015,After,768,57078413.47,74320.85087239584,748,7,8154059.067142857,109.71428571428571
Diwali (Nov),2016,Before,1508,66280580.61,43952.63966180371,1478,7,9468654.372857142,215.42857142857142
Diwali (Nov),2016,During,1673,95596220.64,57140.598111177525,1634,9,10621802.293333333,185.88888888888889
Diwali (Nov),2016,After,1275,88233065.2,69202.40407843137,1256,7,12604723.6,182.14285714285714
