festival,transactions,total_revenue,avg_order_value,median_order_value,unique_customers,units_sold,start_date,end_date,revenue_pct,transaction_pct,revenue_per_customer,duration_days,daily_revenue,daily_transactions
Dussehra,38194,2398418003.45,62795.67,40721.34,35687,47744,2015-10-10,2025-10-19,3.13,3.4,67207.05,3663,654768.77,10.43
Ganesh Chaturthi,30653,2389372516.21,77949.06,51810.37,29123,38439,2015-09-05,2025-09-14,3.12,2.73,82044.18,3663,652299.35,8.37
Black Friday,28162,2188679169.48,77717.46,51496.7,26791,35255,2015-11-20,2025-11-27,2.86,2.51,81694.57,3661,597836.43,7.69
Diwali,42651,2020177755.11,47365.31,31183.13,39572,53256,2015-10-20,2025-10-30,2.64,3.8,51050.69,3664,551358.56,11.64
Summer Sale,41711,2014785907.33,48303.47,31802.37,38877,52205,2015-05-01,2025-05-14,2.63,3.72,51824.62,3667,549437.12,11.37
Holi,26343,1969556389.51,74765.83,49025.3,25142,32814,2015-03-15,2025-03-24,2.57,2.35,78337.3,3663,537689.43,7.19
Year End Sale,25170,1957617539.04,77775.83,51560.01,24130,31464,2015-12-26,2025-12-31,2.56,2.24,81127.95,3659,535014.36,6.88
Christmas Sale,24970,1933314159.32,77425.48,51467.91,23918,31287,2015-12-20,2025-12-25,2.53,2.22,80830.93,3659,528372.28,6.82
Diwali (Nov),31292,1922857762.7,61448.86,39974.72,29667,39318,2015-11-01,2025-11-09,2.51,2.79,64814.7,3662,525084.04,8.55
Valentine Week,22598,1329286100.54,58823.17,38447.94,21755,28201,2015-02-07,2025-02-14,1.74,2.01,61102.56,3661,363093.72,6.17
Independence Day Sale,16096,1245078685.77,77353.3,51189.29,15666,20134,2015-08-10,2025-08-15,1.63,1.43,79476.49,3659,340278.41,4.4
Raksha Bandhan,15652,1208441248.07,77206.83,51513.94,15223,19559,2015-08-20,2025-08-25,1.58,1.39,79382.6,3659,330265.44,4.28
Republic Day Sale,20100,956088998.71,47566.62,31571.56,19448,25172,2015-01-20,2025-01-26,1.25,1.79,49161.3,3660,261226.5,5.49
Cyber Monday,7079,545761327.11,77095.82,50848.99,6988,8893,2015-11-28,2025-11-29,0.71,0.63,78099.79,3655,149319.1,1.94
Amazon Prime Day,5949,290075707.5,48760.41,31839.06,5882,7377,2015-07-15,2025-07-16,0.38,0.53,49315.83,3655,79364.08,1.63
