age_group,payment_method,transactions,revenue,pct_in_age
18-25,BNPL,5596,313566013.79,1.78
18-25,COD,90350,6327126691.46,28.68
18-25,Credit Card,47887,3313175335.96,15.2
18-25,Debit Card,39257,2732575136.44,12.46
18-25,Net Banking,18219,1291452496.2,5.78
18-25,UPI,107406,7075290406.29,34.09
18-25,Wallet,6306,432382781.05,2.0
26-35,BNPL,6250,356113394.55,1.8
26-35,COD,99304,6987394893.52,28.66
26-35,Credit Card,52795,3699440686.89,15.24
26-35,Debit Card,43162,3030328895.63,12.46
26-35,Net Banking,19769,1388418427.1,5.71
26-35,UPI,118045,7739525095.7,34.07
26-35,Wallet,7119,490223535.52,2.05
36-45,BNPL,3594,203961450.56,1.81
36-45,COD,56574,3975027324.51,28.54
36-45,Credit Card,30523,2109239429.9,15.4
36-45,Debit Card,24569,1721955268.78,12.4
36-45,Net Banking,11558,804135996.57,5.83
36-45,UPI,67462,4406099747.23,34.03
36-45,Wallet,3934,267587504.94,1.98
46-55,BNPL,1790,95616461.5,1.82
46-55,COD,28166,1981065299.24,28.57
46-55,Credit Card,15227,1058826757.11,15.45
46-55,Debit Card,12180,862169746.51,12.36
46-55,Net Banking,5607,401152543.46,5.69
46-55,UPI,33565,2172855499.56,34.05
46-55,Wallet,2034,137426612.65,2.06
55+,BNPL,510,29448634.69,1.72
55+,COD,8614,594689002.38,28.99
55+,Credit Card,4561,314643987.2,15.35
55+,Debit Card,3677,252008875.4,12.37
55+,Net Banking,1683,117804020.81,5.66
55+,UPI,10045,658421579.18,33.81
55+,Wallet,624,43822966.18,2.1
