age_group,subcategory,transactions,revenue,avg_order_value,unique_customers,subcategory_pct_in_age
18-25,Audio,14240,312409908.94,21938.8980997191,12673,4.52
18-25,Laptops,24646,2615506376.77,106122.95612959507,20912,7.82
18-25,Smart Watch,21009,898253118.97,42755.63420296064,18637,6.67
18-25,Smartphones,230851,15699473572.52,68006.95501652581,98472,73.28
18-25,TV & Entertainment,4594,538749025.46,117272.31725293862,4448,1.46
18-25,Tablets,19681,1421176858.53,72210.60202886032,17336,6.25
26-35,Audio,15556,341174801.8,21932.03920030856,13892,4.49
26-35,Laptops,27180,2896629015.73,106572.075633922,23096,7.85
26-35,Smart Watch,22887,985778845.59,43071.56226635208,20348,6.61
26-35,Smartphones,254263,17317572728.1,68108.89798397721,108965,73.39
26-35,TV & Entertainment,5087,591609061.05,116298.2231275801,4901,1.47
26-35,Tablets,21471,1558680476.64,72594.68476736062,18896,6.2
36-45,Audio,8764,194156700.19,22153.89093906892,7873,4.42
36-45,Laptops,15570,1662611357.23,106783.00303339756,13126,7.86
36-45,Smart Watch,13092,563609941.89,43049.94973189734,11639,6.6
36-45,Smartphones,145488,9834042723.15,67593.49721729627,61851,73.4
36-45,TV & Entertainment,2872,335041288.15,116657.83013579386,2765,1.45
36-45,Tablets,12428,898544711.88,72300.02509494689,10999,6.27
46-55,Audio,4502,97353458.98,21624.491110617506,4005,4.57
46-55,Laptops,7853,828750425.43,105532.97153062523,6618,7.97
46-55,Smart Watch,6455,277730751.59,43025.67801549186,5757,6.55
46-55,Smartphones,72202,4899170351.45,67853.66543101298,30750,73.25
46-55,TV & Entertainment,1397,162525169.61,116338.70408733,1352,1.42
46-55,Tablets,6160,443582762.97,72010.18879383117,5447,6.25
55+,Audio,1373,29929798.14,21798.833313911146,1223,4.62
55+,Laptops,2382,248771049.91,104437.8882913518,2008,8.02
55+,Smart Watch,1937,83244605.38,42976.04820856995,1743,6.52
55+,Smartphones,21800,1469864072.45,67424.95745183487,9398,73.37
55+,TV & Entertainment,412,47103947.11,114329.96871359223,397,1.39
55+,Tablets,1810,131925592.85,72887.06787292818,1599,6.09
